,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status,circuitId,name,country,year
825,7640,5,2,2,6.0,13,7.0,7,7,2.0,66,52.312,5891514.0,29.0,10.0,01:23.9,199.79,Finished,4,Circuit de Barcelona-Catalunya,Spain,2009
826,7641,5,3,3,16.0,9,8.0,8,8,1.0,66,+1:05.211,5904413.0,24.0,7.0,01:23.6,200.404,Finished,4,Circuit de Barcelona-Catalunya,Spain,2009
827,7654,6,18,23,22.0,1,1.0,1,1,10.0,78,40:44.3,6044282.0,49.0,2.0,01:15.2,159.914,Finished,6,Circuit de Monaco,Monaco,2009
828,7655,6,22,23,23.0,3,2.0,2,2,8.0,78,7.666,6051948.0,46.0,7.0,01:15.7,158.868,Finished,6,Circuit de Monaco,Monaco,2009
829,7656,6,8,6,4.0,2,3.0,3,3,6.0,78,13.442,6057724.0,47.0,5.0,01:15.4,159.507,Finished,6,Circuit de Monaco,Monaco,2009
830,7657,6,13,6,3.0,5,4.0,4,4,5.0,78,15.11,6059392.0,50.0,1.0,01:15.2,159.991,Finished,6,Circuit de Monaco,Monaco,2009
831,7658,6,17,9,14.0,8,5.0,5,5,4.0,78,15.73,6060012.0,45.0,3.0,01:15.3,159.636,Finished,6,Circuit de Monaco,Monaco,2009
832,7659,6,3,3,16.0,6,6.0,6,6,3.0,78,33.586,6077868.0,48.0,9.0,01:15.8,158.686,Finished,6,Circuit de Monaco,Monaco,2009
833,7660,6,4,4,7.0,9,7.0,7,7,2.0,78,37.839,6082121.0,64.0,4.0,01:15.4,159.53,Finished,6,Circuit de Monaco,Monaco,2009
834,7661,6,7,5,11.0,14,8.0,8,8,1.0,78,+1:03.142,6107424.0,47.0,13.0,01:16.2,157.84,Finished,6,Circuit de Monaco,Monaco,2009
835,7662,6,21,10,21.0,13,9.0,9,9,0.0,78,+1:05.040,6109322.0,74.0,16.0,01:16.4,157.343,Finished,6,Circuit de Monaco,Monaco,2009
836,7674,7,18,23,22.0,2,1.0,1,1,10.0,58,26:24.8,5184848.0,40.0,1.0,01:27.6,219.422,Finished,5,Istanbul Park,Turkey,2009
837,7675,7,17,9,14.0,4,2.0,2,2,8.0,58,6.714,5191562.0,42.0,3.0,01:27.8,218.847,Finished,5,Istanbul Park,Turkey,2009
838,7676,7,20,9,15.0,1,3.0,3,3,6.0,58,7.461,5192309.0,51.0,2.0,01:27.6,219.314,Finished,5,Istanbul Park,Turkey,2009
839,7677,7,15,7,9.0,5,4.0,4,4,5.0,58,27.843,5212691.0,40.0,4.0,01:27.9,218.7,Finished,5,Istanbul Park,Turkey,2009
840,7678,7,3,3,16.0,9,5.0,5,5,4.0,58,31.539,5216387.0,36.0,11.0,01:28.2,217.823,Finished,5,Istanbul Park,Turkey,2009
841,7679,7,13,6,3.0,7,6.0,6,6,3.0,58,39.996,5224844.0,41.0,9.0,01:28.2,217.936,Finished,5,Istanbul Park,Turkey,2009
842,7680,7,9,2,5.0,10,7.0,7,7,2.0,58,46.247,5231095.0,58.0,7.0,01:28.0,218.352,Finished,5,Istanbul Park,Turkey,2009
843,7681,7,10,7,10.0,13,8.0,8,8,1.0,58,46.959,5231807.0,56.0,5.0,01:27.9,218.663,Finished,5,Istanbul Park,Turkey,2009
844,7682,7,8,6,4.0,6,9.0,9,9,0.0,58,50.246,5235094.0,58.0,8.0,01:28.1,218.221,Finished,5,Istanbul Park,Turkey,2009
845,7683,7,4,4,7.0,8,10.0,10,10,0.0,58,+1:02.420,5247268.0,57.0,13.0,01:28.4,217.411,Finished,5,Istanbul Park,Turkey,2009
846,7684,7,2,2,6.0,11,11.0,11,11,0.0,58,+1:04.327,5249175.0,43.0,10.0,01:28.2,217.842,Finished,5,Istanbul Park,Turkey,2009
847,7685,7,6,3,17.0,12,12.0,12,12,0.0,58,+1:06.376,5251224.0,58.0,6.0,01:28.0,218.402,Finished,5,Istanbul Park,Turkey,2009
848,7686,7,1,1,1.0,16,13.0,13,13,0.0,58,+1:20.454,5265302.0,53.0,15.0,01:28.6,216.986,Finished,5,Istanbul Park,Turkey,2009
